student_num,question_number,question_prefix,question_text,response_num,response_chr
1,1,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Analyzing data for patterns,5,NA
1,2,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Figuring out the next step in a research project,4,NA
1,3,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Formulating a research question that can be answered with data,4,NA
1,4,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Identifying limitations of research methods and designs,5,NA
1,5,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Understanding the relevance of research to my coursework,5,NA
1,6,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Confidence in my ability to contribute to science,5,NA
1,7,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Comfort in discussing scientific concepts with others,4,NA
1,8,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Comfort in working collaboratively with others,4,NA
1,9,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Ability to work independently,5,NA
1,10,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Developing patience with slow pace of research,3,NA
1,11,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Understanding what everyday research work is like,5,NA
1,12,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Writing scientific reports or papers,2,NA
1,13,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Making oral presentations,5,NA
1,14,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Explaining my project to people outside my field,4,NA
1,15,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Preparing a scientific poster,5,NA
1,16,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Keeping a detailed lab notebook,5,NA
1,17,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,"Conducting observations in the lab, greenhouse, or field",4,NA
1,18,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Using statistics to analyze data,1,NA
1,19,How much did you gain in the following areas as a result of your research/extension experience in past nine weeks?,Understanding journal articles,4,NA
1,20,"During your research/extension experience, how much did you?",Engage in real-world science research,5,NA
1,21,"During your research/extension experience, how much did you?",Feel like a scientist,5,NA
1,22,"During your research/extension experience, how much did you?",Try out new ideas or procedures on your own,5,NA
1,23,"During your research/extension experience, how much did you?",Feel responsible for the project,4,NA
1,24,"During your research/extension experience, how much did you?",Work extra hours because you were excited about the project,5,NA
1,25,"During your research/extension experience, how much did you?",Feel part of the scientific community,4,NA
